#& sector superlayer component v0 deltanm tmax distbeta delta_bfield_coefficient b1 b2 b3 b4 delta_T0 c1 c2 c3
1	 1	 0	 0.003801	 0	 167.579170	 0.070960	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688670	 0.004212	 0
2	 1	 0	 0.003801	 0	 167.579170	 0.070960	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688670	 0.004212	 0
3	 1	 0	 0.003801	 0	 167.579170	 0.070960	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688670	 0.004212	 0
4	 1	 0	 0.003801	 0	 167.579170	 0.070960	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688670	 0.004212	 0
5	 1	 0	 0.003801	 0	 167.579170	 0.070960	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688670	 0.004212	 0
6	 1	 0	 0.003801	 0	 167.579170	 0.070960	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688670	 0.004212	 0
1	 2	 0	 0.003658	 0	 176.951318	 0.072799	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688740	 0.004116	 0
2	 2	 0	 0.003658	 0	 176.951318	 0.072799	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688740	 0.004116	 0
3	 2	 0	 0.003658	 0	 176.951318	 0.072799	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688740	 0.004116	 0
4	 2	 0	 0.003658	 0	 176.951318	 0.072799	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688740	 0.004116	 0
5	 2	 0	 0.003658	 0	 176.951318	 0.072799	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688740	 0.004116	 0
6	 2	 0	 0.003658	 0	 176.951318	 0.072799	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.688740	 0.004116	 0
1	 3	 0	 0.004967	 0	 338.216107	 0.087004	 0.211400	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.627380	 0.003088	 0
2	 3	 0	 0.004967	 0	 338.216107	 0.087004	 0.211400	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.627380	 0.003088	 0
3	 3	 0	 0.004967	 0	 338.216107	 0.087004	 0.211400	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.627380	 0.003088	 0
4	 3	 0	 0.004967	 0	 338.216107	 0.087004	 0.211400	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.627380	 0.003088	 0
5	 3	 0	 0.004967	 0	 338.216107	 0.087004	 0.211400	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.627380	 0.003088	 0
6	 3	 0	 0.004967	 0	 338.216107	 0.087004	 0.211400	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.627380	 0.003088	 0
1	 4	 0	 0.005274	 0	 361.893914	 0.091159	 0.245500	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.605440	 0.002946	 0
2	 4	 0	 0.005274	 0	 361.893914	 0.091159	 0.245500	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.605440	 0.002946	 0
3	 4	 0	 0.005274	 0	 361.893914	 0.091159	 0.245500	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.605440	 0.002946	 0
4	 4	 0	 0.005274	 0	 361.893914	 0.091159	 0.245500	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.605440	 0.002946	 0
5	 4	 0	 0.005274	 0	 361.893914	 0.091159	 0.245500	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.605440	 0.002946	 0
6	 4	 0	 0.005274	 0	 361.893914	 0.091159	 0.245500	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.605440	 0.002946	 0
1	 5	 0	 0.003337	 0	 706.393526	 0.081399	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.682900	 0.001650	 0
2	 5	 0	 0.003337	 0	 706.393526	 0.081399	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.682900	 0.001650	 0
3	 5	 0	 0.003337	 0	 706.393526	 0.081399	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.682900	 0.001650	 0
4	 5	 0	 0.003337	 0	 706.393526	 0.081399	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.682900	 0.001650	 0
5	 5	 0	 0.003337	 0	 706.393526	 0.081399	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.682900	 0.001650	 0
6	 5	 0	 0.003337	 0	 706.393526	 0.081399	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.682900	 0.001650	 0
1	 6	 0	 0.003356	 0	 772.262669	 0.084338	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.679420	 0.001551	 0
2	 6	 0	 0.003356	 0	 772.262669	 0.084338	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.679420	 0.001551	 0
3	 6	 0	 0.003356	 0	 772.262669	 0.084338	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.679420	 0.001551	 0
4	 6	 0	 0.003356	 0	 772.262669	 0.084338	 0.000000	 0.400000	 -2.000000	 10.000000	 -6.500000	 0	 0.679420	 0.001551	 0
